cnt,course_cmu_id,course_piazza_id,name,prof,term,course_id,stats_i_answers,stats_net_time,stats_posts,stats_questions,stats_response_time,stats_s_answers,top_user_0_answers,top_user_0_asks,top_user_0_days,top_user_0_posts,top_user_0_user_id,top_user_0_views,top_user_1_answers,top_user_1_asks,top_user_1_days,top_user_1_posts,top_user_1_user_id,top_user_1_views,top_user_2_answers,top_user_2_asks,top_user_2_days,top_user_2_posts,top_user_2_user_id,top_user_2_views
33,19673,jatt842957g61p,"Patents,  Licensing,  and Innovation",Dean Alderucci,Spring 2018,jatt842957g61p,3.0,0,96,38,,2,2.0,1.0,36.0,9.0,jcewx5zqMCXN,31.0,0.0,0.0,64.0,4.0,ipbrvmdo97l4br,13.0,0.0,1.0,51.0,4.0,ipbrvufa3uq4kw,31.0
66,08-710/11,j0ipa2sht4a3lf,SEO & Data mining,Ramakumar Pasumarthi,Summer 2017,j0ipa2sht4a3lf,4.0,0,47,20,16267.0,1,,,,,,,,,,,,,,,,,,
97,67-272,jav5elzkg7c1wf,Application Design & Development,Professor Heimann,Spring 2018,jav5elzkg7c1wf,1288.0,0,4147,1176,551.0,131,6.0,71.0,75.0,157.0,iprn5h69y2d198,354.0,5.0,76.0,81.0,136.0,iprn5iosg5x1aq,426.0,6.0,52.0,74.0,100.0,iprn5detnqk15n,578.0
43,14-761,javsztj2hcs1po,Applied Information Assurance,Christopher May,Spring 2018,javsztj2hcs1po,115.0,0,763,173,1807.0,26,0.0,8.0,64.0,36.0,j6yelvqaWaL,107.0,3.0,9.0,115.0,34.0,j6jsxejsrea6hq,113.0,1.0,15.0,119.0,26.0,j6jsxe6leg16h8,113.0
1,90878-W,jaxd3thw6fp6i9,Policy Analysis Capstone,None,Spring 2018,jaxd3thw6fp6i9,,0,5,5,,0,,,,,,,,,,,,,,,,,,
35,70208-W,jb0o3pc5rot5l1,Regression Analysis,"Peter Boatwright, Tehseen Niaz",Spring 2018,jb0o3pc5rot5l1,12.0,0,84,30,3493.0,14,,,,,,,,,,,,,,,,,,
4,76395,jb1fmembru018u,Science Writing,None,Spring 2018,jb1fmembru018u,,0,5,5,,0,,,,,,,,,,,,,,,,,,
38,18-447,jb4x4ifjcbk1vb,18-447 Introduction to Computer Architecture,James C. Hoe,Spring 2018,jb4x4ifjcbk1vb,249.0,0,874,235,3461.0,27,9.0,63.0,96.0,155.0,hw8wu34jqg5cg,217.0,4.0,11.0,86.0,33.0,iayosusiw53k0,170.0,1.0,15.0,92.0,27.0,hw8wu576cne5hd,78.0
34,S18-CS1,jb5dznsjdhd4yf,CMU-CS-Academy-S18-CS1-Pilot,David Kosbie,Spring 2018,jb5dznsjdhd4yf,37.0,0,324,200,1025.0,1,0.0,13.0,18.0,18.0,j2kaikc9tbx7hs,97.0,0.0,8.0,45.0,16.0,iu74gmojtbz4q8,122.0,1.0,1.0,32.0,11.0,j2kaikzlb0w7ia,86.0
54,95710-A3,jb7y4wltlj61sr,Economic Analysis,"Karen Bradley Clay, Mengjia Ren, Ricardo Laverde",Spring 2018,jb7y4wltlj61sr,38.0,0,174,69,5156.0,5,0.0,5.0,86.0,9.0,j8xczyzjv2w3xj,29.0,1.0,4.0,50.0,8.0,j8xczvts4rs3tt,29.0,2.0,1.0,81.0,5.0,j7i9o0brcqs7jj,41.0
