course_id,stats_i_answers,stats_net_time,stats_posts,stats_questions,stats_response_time,stats_s_answers,top_user_0_answers,top_user_0_asks,top_user_0_days,top_user_0_posts,top_user_0_user_id,top_user_0_views,top_user_1_answers,top_user_1_asks,top_user_1_days,top_user_1_posts,top_user_1_user_id,top_user_1_views,top_user_2_answers,top_user_2_asks,top_user_2_days,top_user_2_posts,top_user_2_user_id,top_user_2_views
ixqn73fyhhzzx,527.0,0,3050,635,7706.0,279,10.0,13.0,102.0,80.0,ie0a13unrb52q1,398.0,2.0,10.0,69.0,76.0,ijd6o0ol3jz65j,238.0,14.0,24.0,115.0,66.0,i4wvbi6p4w84ib,286.0
jeal2xeypbb1ka,,0,5,5,,0,,,,,,,,,,,,,,,,,,
iy0si9yrpwi752,12.0,0,125,85,840.0,1,0.0,3.0,321.0,5.0,iprn5r4wha11jd,64.0,1.0,0.0,82.0,3.0,iprn5pqs6821i3,37.0,0.0,1.0,9.0,3.0,iprn4qrbzyijc,15.0
j1dpusvymu572n,113.0,0,465,151,9678.0,22,0.0,5.0,265.0,16.0,j1dqhy755kw3dg,85.0,2.0,10.0,237.0,14.0,j1dqhwj4wp13ba,106.0,0.0,5.0,271.0,11.0,j1dqhsu7gkv37c,98.0
j6ceozytup11ux,729.0,0,2070,552,288.0,33,0.0,129.0,124.0,189.0,ijaqw9hkd5b14r,543.0,1.0,27.0,154.0,50.0,idz68ehil3r5bh,327.0,0.0,25.0,184.0,44.0,hy5yqcrom1j15e,427.0
j2huf8frzlx1j2,187.0,0,676,216,662.0,18,5.0,44.0,287.0,74.0,idz67gpmt823ad,171.0,0.0,9.0,299.0,38.0,iayotca255z101,110.0,0.0,10.0,83.0,34.0,idz691y6gwc5nj,128.0
j2v4cd4d9vh6fj,10.0,0,32,20,18712.0,0,,,,,,,,,,,,,,,,,,
j3btnrdfb1q58h,63.0,0,346,102,7726.0,30,1.0,7.0,27.0,23.0,isdjhjvw9ee6ag,87.0,6.0,6.0,238.0,18.0,j3btrpuzhw46nl,90.0,1.0,5.0,31.0,15.0,itbw53x33oc6mq,78.0
j3du1yacluj1wa,1.0,0,101,14,,0,,,,,,,,,,,,,,,,,,
j3rpm96igs9jq,95.0,0,387,95,1105.0,9,1.0,15.0,101.0,32.0,hw8wu3wmwx25en,78.0,0.0,11.0,186.0,25.0,j6tlja1ukhr6l,84.0,0.0,7.0,125.0,23.0,iy0vlwiu8yapv,71.0
j3udtjg26v3kf,124.0,0,302,123,41013.0,8,0.0,8.0,54.0,10.0,j3vgmhckHTx,73.0,0.0,5.0,52.0,8.0,j400jjdug7H,110.0,0.0,7.0,43.0,7.0,j3vhkyjveHE,114.0
j3x956fq6wu1o7,45.0,0,152,48,1139.0,26,5.0,1.0,180.0,7.0,j4j8p8fof5n,13.0,0.0,2.0,200.0,6.0,ib3t1bws9yv337,30.0,1.0,5.0,217.0,6.0,j45ssopmJvK,35.0
j477vet8imy76s,16.0,0,63,32,30800.0,2,2.0,16.0,52.0,19.0,j4mwihtc9zj4a5,20.0,0.0,3.0,24.0,3.0,iprn5qvy9tk1j4,9.0,0.0,2.0,97.0,2.0,iprn4kqjb74db,12.0
j4iinbi5c02ac,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4k5umfapunup,42.0,0,144,66,1459.0,1,0.0,25.0,52.0,36.0,j4mwihtc9zj4a5,54.0,0.0,4.0,11.0,5.0,j4mwiiqhm8a4aj,21.0,1.0,1.0,37.0,4.0,j4kmof4rkar4gn,48.0
j4k7d828ikf2y7,12.0,0,67,29,8827.0,15,,,,,,,,,,,,,,,,,,
j4lkakum7zp1ig,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4nd1b4mnoq54a,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4nfbcg8v9s6fs,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4nhj6c5ezop7,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4o8s5czi1n5f5,15.0,0,59,25,6400.0,15,,,,,,,,,,,,,,,,,,
j4oo33ss9cb4r8,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4oplk8ifed6hq,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4psud4pdt32rz,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4pvqk82x9hej,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4pzz1pa4c31ps,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4r30ddqj0d3mq,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4r3p58hrw13t,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4r4616lhyu4c9,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4r5eca68f26l5,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4r75x58kq14nl,,0,6,6,,0,,,,,,,,,,,,,,,,,,
j602rr5gz6y58g,113.0,0,278,121,1650.0,5,1.0,12.0,50.0,20.0,j6wz3yoidBd,97.0,0.0,12.0,51.0,13.0,iprn5ll7nbs1e0,31.0,0.0,5.0,94.0,11.0,iprn4aw290h3b,22.0
j4r76jpe7s14a3,41.0,0,136,76,3841.0,1,1.0,19.0,32.0,25.0,j4oirq7kQh0,70.0,0.0,6.0,13.0,7.0,j4r7b0jdchk5j3,50.0,0.0,3.0,21.0,6.0,iayotdc695n110,14.0
j4rh21azac94ok,1.0,0,8,7,,0,,,,,,,,,,,,,,,,,,
j4sm5qaenjg6vk,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4snl6w9s8q3rp,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4vikfe8r5v4th,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4wcpss5xda7ap,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4wejye099i4ly,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4wxit2r4jh4p4,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j4yp79evm4u1s,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j515neykbdy5uv,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j5283tsy6ak69q,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j52ftvqz1vi5y,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j52kp99dw26723,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j586j92bgea76v,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j59qpgtdwcw600,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j5bc593wptl1bn,,0,6,6,,0,,,,,,,,,,,,,,,,,,
j5befcga71k73a,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j5c6hvdvrar39v,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j5e34rhcr3e547,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j5f4yz9pq9c77w,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j5hgyna9je75bl,128.0,0,390,138,3281.0,17,0.0,21.0,135.0,30.0,ijaqw9hkd5b14r,107.0,0.0,14.0,173.0,21.0,iprn4xwr36qqp,53.0,0.0,11.0,81.0,18.0,ib1xnlzfn302mz,69.0
jcj97siisuf5q2,13.0,0,34,20,13264.0,1,,,,,,,,,,,,,,,,,,
j5jymkc3osj32z,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j5y0q6mz97mcl,64.0,0,185,61,4202.0,4,2.0,15.0,161.0,25.0,iqwan2rk43v1cq,45.0,0.0,7.0,96.0,12.0,iuenbq53g2n59g,52.0,0.0,5.0,34.0,9.0,iyqckhyj5yo,48.0
j602nimyg2d4do,63.0,0,137,59,1234.0,0,0.0,11.0,70.0,13.0,hw8wu2m6g0d5bd,28.0,0.0,4.0,14.0,7.0,hw8wu2sb1uk5bv,28.0,0.0,6.0,191.0,7.0,iayot1d4mlrpy,48.0
j63e25sln0o6sc,89.0,0,429,156,5255.0,29,7.0,15.0,75.0,31.0,isi4gp3j2811pc,116.0,6.0,2.0,145.0,23.0,j6p5pnjj2z6e9,117.0,4.0,7.0,198.0,19.0,j6p5dzpb9rz4qe,117.0
j63p7t39h0x7ff,,0,5,5,,0,,,,,,,,,,,,,,,,,,
jbfdrzmrx1o5ey,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j64qa6jdk4q2vi,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j64s5u6pky51q2,6.0,0,29,16,61354.0,3,,,,,,,,,,,,,,,,,,
j65b4e9yyw71h,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j65e6zgcrqb64j,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j65gesm4r1522,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j65sbqczwxi4y9,5.0,0,27,16,897.0,5,,,,,,,,,,,,,,,,,,
j65u76hkfqr43p,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j66qpj2maem1g7,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j6741k7pf6e1ru,386.0,0,1072,374,1942.0,61,15.0,20.0,46.0,58.0,ie1rmdx2v95712,191.0,0.0,37.0,164.0,49.0,iprn3tz11i47ck,131.0,0.0,34.0,98.0,45.0,iprn59vvxet11w,274.0
j69pupsy9c91bj,121.0,0,1539,630,4965.0,53,2.0,19.0,112.0,55.0,ioa6uq1u3xp17z,202.0,1.0,22.0,183.0,45.0,j6p5qxyyri271b,205.0,14.0,5.0,97.0,41.0,ir81t7m3amu2tt,210.0
j6avr85320q2b6,212.0,0,1269,303,40568.0,103,32.0,19.0,56.0,90.0,idumjkx4s233zg,293.0,7.0,17.0,99.0,73.0,ijaqx0cgrbb1me,199.0,4.0,18.0,95.0,71.0,iprn4dzyixg6j,180.0
j6bhq7xab8pcr,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j6cae1ie67h5so,115.0,0,488,168,4157.0,57,11.0,36.0,62.0,69.0,hqgn0xubeo26gc,118.0,2.0,31.0,126.0,41.0,isbx4gnkbq5p2,147.0,3.0,13.0,78.0,25.0,in1zcyqktzj4e,156.0
jbccciak5bzmr,85.0,0,330,107,4011.0,17,0.0,7.0,102.0,16.0,ixxobb0li2lxh,83.0,0.0,2.0,60.0,13.0,j6sclpq73cq7n8,82.0,0.0,4.0,96.0,11.0,j1dqhvaetmj3a8,88.0
j6cvy8rk9fhkr,88.0,0,260,107,3996.0,11,0.0,7.0,22.0,12.0,j8disdjkRkJ,60.0,0.0,4.0,12.0,8.0,idumjmb7zaf40e,27.0,1.0,3.0,84.0,7.0,iqb4haghgiy58j,75.0
jc8edubv29d7gt,43.0,0,122,44,4929.0,1,1.0,11.0,22.0,21.0,idz67jh3x773di,24.0,0.0,4.0,38.0,8.0,hz9xutumsb4w3,12.0,0.0,3.0,36.0,6.0,ija8wdwx51f4l7,8.0
j6dc3kzu1xa7n1,,0,5,5,,0,,,,,,,,,,,,,,,,,,
j6dobp76al46ao,96.0,0,424,170,1391.0,8,1.0,19.0,172.0,37.0,hx1x554fjdo23p,95.0,4.0,8.0,114.0,20.0,in1zcylykj248,118.0,0.0,10.0,168.0,16.0,iprn5goki1118q,117.0
